DataHora,Idade,Sexo,TempoDocencia,CursoGraduacao,PosEmEstatistica,UsoR,UsoTinkerplots,UsoFathom,UsoExcel,UsoSPSS,UsoCODAP,UsoMinitab,UsoPython,UsoSigmaplot,UsoPSPP,NomeOutros1,UsoOutro1,NomeOutros2,UsoOutro2,NomeOutros3,UsoOutro3
29/11/2023 16:22:02,37,Masculino,1,Licenciatura em Matemática,Não,1,1,1,4,1,1,1,3,1,1,,,,,,
29/11/2023 17:12:30,52,Masculino,18,Agronomia,Não,2,,,5,,,3,,,,SAS,5,,,,
29/11/2023 20:12:08,36,Masculino,4,Ciências Econômicas,Não,5,1,1,3,3,1,1,1,1,1,Stata,3,,,,
29/11/2023 21:47:12,47,Masculino,18,Ciências Biológicas,Não,1,1,1,5,1,1,1,1,1,1,Bioestat,5,,,,
30/11/2023 00:45:57,42,Feminino,15,Bacharelado em Estatística,Sim,3,1,1,5,3,1,3,1,1,1,Bioestat,4,Jamovi,4,Statistics,4
30/11/2023 10:00:43,37,Masculino,11,Física,Não,1,1,1,4,1,1,4,4,1,1,,,,,,
30/11/2023 10:10:51,35,Feminino,6,Odontologia,Não,2,1,1,5,5,1,3,1,3,1,JAMOVI,5,BIOESTAT,5,,
30/11/2023 12:02:35,44,Masculino,3,Licenciatura em Matemática,Não,5,,,,,,,4,,,Kmine,5,Orange data mining,5,,
30/11/2023 14:13:58,51,Masculino,10,Ciências Contábeis,Não,,,,5,3,,,3,,,Linguagem R,4,Jamovi,4,,
30/11/2023 15:21:27,38,Masculino,13,"Engenheria Civil, Materiais, Administração e Ciência Contábeis",Não,5,1,1,5,1,1,1,4,1,1,,,,,,
30/11/2023 16:30:54,48,Feminino,17,Estatística,Sim,4,1,1,5,2,2,3,5,1,1,Power Bi,1,,,,
30/11/2023 17:56:46,46,Feminino,6,Licenciatura em Matemática,Sim,3,1,1,5,2,1,2,1,1,1,,,,,,
01/12/2023 08:10:43,34,Masculino,5,Ciências Biológicas,Não,4,1,1,4,1,1,1,1,1,1,,,,,,
01/12/2023 12:08:45,52,Masculino,18,Engenharias e Ciências Atmosféricas,Não,5,1,1,5,1,1,2,5,1,1,Statdisk,5,,,,
01/12/2023 13:04:32,58,Masculino,26,Engenharia Elétrica,Não,5,1,1,5,2,1,2,1,1,1,,,,,,
01/12/2023 18:00:39,56,Masculino,23,Física e Engenharia,Sim,1,1,1,5,1,1,1,1,1,1,Eviews,4,,,,
02/12/2023 12:56:37,58,Masculino,35,Economia,Não,1,1,1,4,1,1,1,4,1,1,,,,,,
02/12/2023 13:12:42,29,Masculino,1,Engenharia Elétrica,Não,1,1,1,3,1,1,1,1,1,1,Octave,5,,,,
04/12/2023 08:16:58,64,Feminino,34,Pedagogia,Sim,,,,5,4,,,,,,,,,,,
04/12/2023 09:50:50,37,Masculino,10,Engenharia Florestal,Não,5,1,1,3,2,1,2,2,1,1,,,,,,
04/12/2023 10:47:28,44,Masculino,7,Licenciatura em Matemática,Não,4,1,1,5,2,1,4,,2,1,Bioestat,5,Geogebra,5,,
04/12/2023 11:02:37,41,Feminino,7,Fisioterapia,Não,2,1,1,3,4,1,1,2,1,3,,,,,,
04/12/2023 11:20:50,36,Masculino,5,Bacharelado em Ciências Biológicas,Não,5,1,1,5,1,1,1,1,2,1,,,,,,
04/12/2023 11:54:08,37,Masculino,2,Biologia,Não,5,1,1,5,3,1,1,1,1,1,,,,,,
05/12/2023 10:33:40,34,Masculino,4,Geografia,Não,5,1,1,5,1,1,1,1,1,1,Softwares de SIG como QGIS,4,,,,
05/12/2023 13:19:35,60,Feminino,20,Matemática,Sim,3,1,1,5,2,1,2,1,1,1,,,,,,
05/12/2023 13:33:05,37,Masculino,6,Engenharia Química,Não,,,,3,,,,,,,Matlab,5,,,,
05/12/2023 13:35:13,74,Masculino,45,"Estatística, Pedagogia, Engenharia e Administração",Não,2,1,1,5,2,1,2,1,1,1,,,,,,
